data_base,faixa,carteira_ativa,carteira_inadimplida_arrastada,numero_de_operacoes,ticket_medio
2015-08-01,alta,173428622830.84,2370137522.7,854601,202935.19763122205
2015-08-01,indisponivel,360778094.9,6966252.58,4845,74464.0030753354
2015-09-01,Faixa1,136263622223.23,2731146970.33,2271470,59989.1797924824
2015-09-01,Faixa2,66757672927.14,1059575892.4,867885,76919.95244432153
2015-09-01,Faixa3,93455145315.04001,1357596461.8500001,849283,110040.05180256758
2015-09-01,Sem Renda,2138733783.32,34085838.21,16564,129119.40251871529
2015-09-01,alta,174042346622.65,2461293085.34,854623,203648.0958535518
2015-09-01,indisponivel,359086296.99,6269392.850000001,4700,76401.33978510638
2015-10-01,Faixa1,139022669253.04,3260027706.75,2298888,60473.876610361185
2015-10-01,Faixa2,67327815322.65,1289745286.57,871954,77214.8706498852
2015-10-01,Faixa3,93992374038.6,1599500751.0,852138,110301.82205065378
2015-10-01,Sem Renda,1756942940.8,31422961.130000003,10950,160451.41011872145
2015-10-01,alta,175147958695.09,2819222746.58,858240,204078.06522078905
2015-10-01,indisponivel,356804473.43,5966096.15,4615,77314.07874972915
2015-11-01,Faixa1,141818650293.27,3362285357.48,2324548,61009.12964295424
2015-11-01,Faixa2,67530388361.81,1347975755.97,871727,77467.3588885167
2015-11-01,Faixa3,94189002093.24,1680600406.81,851330,110637.47558906653
2015-11-01,Sem Renda,2018424291.93,33712701.78,14348,140676.35154237525
2015-11-01,alta,175504476871.61,2942283928.07,856790,204839.54863106477
2015-11-01,indisponivel,321765477.78000003,6250758.68,3776,85213.31509004238
2015-12-01,Faixa1,145428609900.45,3077085490.95,2401338,60561.49109390265
2015-12-01,Faixa2,67697142621.52,1228251472.0800002,871363,77691.0915674868
2015-12-01,Faixa3,94368259618.54,1537781027.26,851189,110866.39937609625
2015-12-01,Sem Renda,2665815599.44,33096349.61,23884,111615.12307151231
2015-12-01,alta,176414462517.42,2531306951.24,859125,205342.01951685728
2015-12-01,indisponivel,319332741.24,8406116.55,3680,86775.20142391305
2016-01-01,Faixa1,150058246113.47,3260394977.85,2468325,60793.55275884253
2016-01-01,Faixa2,69398961709.1,1324443686.8700001,880852,78786.17714337938
2016-01-01,Faixa3,96146185359.53,1626428113.01,856814,112213.60220483092
2016-01-01,Sem Renda,1484680430.11,31824104.93,10348,143475.10921047544
2016-01-01,alta,172275304276.1,2643163994.19,831160,207270.92771078975
2016-01-01,indisponivel,316359575.05,8968668.43,3481,90881.80840275783
2016-02-01,Faixa1,152041918443.08,3382728565.92,2486115,61156.43019051009
2016-02-01,Faixa2,69612630192.86,1356235312.54,880356,79073.27284968809
2016-02-01,Faixa3,96409434495.22,1700674661.65,855261,112725.1616702036
2016-02-01,Sem Renda,3396019981.31,40812976.37,31345,108343.2758433562
2016-02-01,alta,170989574585.97,2839122167.77,825784,207063.31750914283
2016-03-01,Faixa1,155033814382.18,3229595196.27,2526434,61364.68017061993
2016-03-01,Faixa2,69691733594.67,1304973141.26,879814,79211.89432615302
2016-03-01,Faixa3,96766509669.2,1633444919.3,858221,112752.43750642317
2016-03-01,Sem Renda,4133494376.34,46036610.5,38313,107887.51536919584
2016-03-01,alta,171193990436.33,2744163525.07,825153,207469.39105393787
2016-04-01,Faixa1,165447626963.36,3668625965.77,2768554,59759.58098103197
2016-04-01,Faixa2,69348503593.45,1234015706.46,799082,86785.2155266293
2016-04-01,Faixa3,101054395629.06,1673433540.05,810137,124737.41555941773
2016-04-01,Sem Renda,2851251840.67,49189005.54,34052,83732.28711000823
2016-04-01,alta,158696513953.84,2671042924.4,716259,221563.02951005154
2016-05-01,Faixa1,168451438722.24,3655492407.06,2796706,60232.0868629881
2016-05-01,Faixa2,69247718290.04,1224282347.28,796714,86916.65803543052
2016-05-01,Faixa3,100925064049.24,1695467226.67,808493,124831.0919813035
2016-05-01,Sem Renda,3410112595.95,46276602.09,39224,86939.44003543748
2016-05-01,alta,158764724274.6,2661019595.32,716915,221455.43652260033
2016-06-01,Faixa1,173815921861.09,2843600352.06,2999253,57953.07093502615
2016-06-01,Faixa2,69379179665.17,957766268.74,799134,86817.95501776923
2016-06-01,Faixa3,101006145980.0,1363946129.25,809759,124736.05848159762
2016-06-01,Sem Renda,1908877970.3999999,34116202.28,9949,191866.3152477636
2016-06-01,alta,158963653507.17,2192961546.06,717802,221458.91695365854
2016-07-01,Faixa1,174678566452.2,3059667592.27,3004948,58130.31255522559
2016-07-01,Faixa2,70487758223.64,1060823221.07,809604,87064.48859397927
2016-07-01,Faixa3,101644456297.76,1479406008.8799999,813462,124952.9250263196
2016-07-01,Sem Renda,3831741956.96,49555067.62,18897,202769.85537175214
2016-07-01,alta,158602650364.51,2263222803.84,717930,220916.59404748376
2016-08-01,Faixa1,178315985209.61002,3057806413.51,3036160,58730.76030565254
2016-08-01,Faixa2,70889797638.31,1059998951.5,811667,87338.52385068014
2016-08-01,Faixa3,102656392663.16,1485656994.12,818881,125361.79574707437
2016-08-01,Sem Renda,208512343.34,9798668.34,1956,106601.40252556237
2016-08-01,alta,161812916080.89,2368668929.3,729043,221952.49948341868
2016-09-01,Faixa1,180961209069.83,3429691450.2,3059732,59142.829852362884
2016-09-01,Faixa2,70953677775.64,1140330560.3,811361,87450.19513587664
2016-09-01,Faixa3,102781016204.23,1570296397.31,819134,125475.21675846686
2016-09-01,Sem Renda,528701979.34,13150017.96,6441,82083.83470579103
2016-09-01,alta,162293443674.47,2420387250.11,730944,222032.66416369792
2016-10-01,Faixa1,183145370407.33,3581586218.83,3073486,59588.809061544445
2016-10-01,Faixa2,70209056233.66,1178590640.56,803273,87403.72978260193
2016-10-01,Faixa3,100672614969.26,1632101140.55,802319,125477.04213568418
2016-10-01,Sem Renda,214626711.72,12651863.86,1952,109952.20887295083
2016-10-01,alta,159922455064.12,2519372526.12,718481,222584.11156887934
2016-11-01,Faixa1,187113553170.0,3472273792.17,3109692,60171.08870267538
2016-11-01,Faixa2,70245778351.36,1134577285.64,802252,87560.73945762678
2016-11-01,Faixa3,100629127192.69,1594229123.27,801037,125623.56943897723
2016-11-01,Sem Renda,245959753.5,12911670.479999999,6587,37340.17815393958
2016-11-01,alta,160108119132.86,2465740481.7,719027,222673.3059159948
