data_base,tcb,carteira_ativa,ano
2023-09-01,Cooperativas,1763751192.54,2023
2023-09-01,Não bancário,4757913502.31,2023
2023-10-01,Bancário,1015800277524.0,2023
2023-10-01,Cooperativas,1802204916.21,2023
2023-10-01,Não bancário,4738496927.86,2023
2023-11-01,Bancário,1024914295860.13,2023
2023-11-01,Cooperativas,1835576969.17,2023
2023-11-01,Não bancário,4723434852.84,2023
2023-12-01,Bancário,1034177290944.39,2023
2023-12-01,Cooperativas,1874558569.85,2023
2023-12-01,Não bancário,4704777817.66,2023
