data_base,sr,carteira_ativa
2021-03-01,S3,8461628602.76
2021-03-01,S4,711922673.43
2021-03-01,S5,516167700.1
2021-04-01,S1,730302795975.37
2021-04-01,S2,3638709375.84
2021-04-01,S3,8805251559.28
2021-04-01,S4,699191954.22
2021-04-01,S5,567512383.65
2021-05-01,S1,739517522427.54
2021-05-01,S2,3652841473.56
2021-05-01,S3,9161466414.21
2021-05-01,S4,711351990.98
2021-05-01,S5,616523661.58
2021-06-01,S1,748441794987.2
2021-06-01,S2,3689998380.76
2021-06-01,S3,9575174752.44
2021-06-01,S4,727332842.6999999
2021-06-01,S5,655322223.09
2021-07-01,S1,757170039747.98
2021-07-01,S2,3733620010.31
2021-07-01,S3,10769769215.22
2021-07-01,S4,739691922.3
2021-07-01,S5,676099243.48
2021-08-01,S1,767712937608.4
2021-08-01,S2,3794448433.06
2021-08-01,S3,11250140218.99
2021-08-01,S4,777371275.92
2021-08-01,S5,688557142.1
2021-09-01,S1,776750683310.6
2021-09-01,S2,3868228802.92
2021-09-01,S3,11814091228.82
2021-09-01,S4,804550542.87
2021-09-01,S5,712338692.92
2021-10-01,S1,785345532962.03
2021-10-01,S2,3996282990.41
2021-10-01,S3,12265336975.01
2021-10-01,S4,828144097.92
2021-10-01,S5,735176326.61
2021-11-01,S1,793993982436.37
2021-11-01,S2,4136043660.33
2021-11-01,S3,12607405056.26
2021-11-01,S4,855877901.6
2021-11-01,S5,745721914.86
2022-01-01,S1,808873987193.98
2022-01-01,S2,4481226991.86
2022-01-01,S3,13216566826.7
2022-01-01,S4,924251433.82
2022-01-01,S5,772811685.5
2022-02-01,S1,815033592488.83
2022-02-01,S2,4643435621.03
2022-02-01,S3,13408518382.52
2022-02-01,S4,942274155.19
2022-02-01,S5,781667076.35
2022-03-01,S1,820923343672.32
2022-03-01,S2,4792890585.21
2022-03-01,S3,14393752517.12
2022-03-01,S4,969530656.88
2022-03-01,S5,787789961.73
2022-04-01,S1,827917346634.29
2022-04-01,S2,4967838154.75
2022-04-01,S3,14584942837.41
2022-04-01,S4,989492650.68
2022-04-01,S5,792972791.49
2022-05-01,S1,836703272708.75
2022-05-01,S2,5150634560.22
2022-05-01,S3,14863066369.6
2022-05-01,S4,1012040963.83
2022-05-01,S5,788883009.87
2022-06-01,S1,846646238252.71
2022-06-01,S2,5350782107.42
2022-06-01,S3,15245802041.78
2022-06-01,S4,1036626376.58
2022-06-01,S5,783717369.04
2022-07-01,S1,857465511699.11
2022-07-01,S2,5470396255.96
2022-07-01,S3,15602147219.91
2022-07-01,S4,1015939119.78
2022-07-01,S5,783563179.8
2022-08-01,S1,867581384683.2
2022-08-01,S2,5545244918.4
2022-08-01,S3,16542222896.8
2022-08-01,S4,1028372615.44
2022-08-01,S5,777704033.59
2022-09-01,S1,877830026705.28
2022-09-01,S2,5595087393.56
2022-09-01,S3,16923454979.24
2022-09-01,S4,1042722393.64
2022-09-01,S5,773059924.8
2022-10-01,S1,887560018673.21
2022-10-01,S2,5637899949.04
2022-10-01,S3,17193312440.24
2022-10-01,S4,1054777317.94
2022-10-01,S5,760089666.15
2022-11-01,S1,896860644101.61
2022-11-01,S2,5650970295.03
2022-11-01,S3,17517109065.4
2022-11-01,S4,1056795728.39
2022-11-01,S5,754738911.28
2022-12-01,S1,905992347264.03
2022-12-01,S2,5679851045.23
2022-12-01,S3,17880999155.25
2022-12-01,S4,1066958772.16
2022-12-01,S5,716555901.77
2023-01-01,S1,913278463298.22
2023-01-01,S2,5678731808.849999
2023-01-01,S3,18149691418.55
2023-01-01,S4,1087313157.95
2023-01-01,S5,748172555.94
2023-02-01,S1,919966100837.63
2023-02-01,S2,5694531131.48
2023-02-01,S3,18436521505.97
2023-02-01,S4,1103489018.32
2023-02-01,S5,742358492.63
2023-03-01,S1,930325897373.34
2023-03-01,S2,5723373963.22
2023-03-01,S3,19245680795.68
2023-03-01,S4,1128908583.59
2023-03-01,S5,737877786.76
2023-04-01,S1,938706540174.38
2023-04-01,S2,5759266784.36
2023-04-01,S3,19571626717.28
2023-04-01,S4,1153248426.84
2023-04-01,S5,738657389.27
2023-05-01,S1,947419342223.9
2023-05-01,S2,5793833688.66
2023-05-01,S3,19971728853.1
2023-05-01,S4,1188522604.28
2023-05-01,S5,730458447.11
2023-06-01,S1,955690657701.96
2023-06-01,S2,5847935967.89
2023-06-01,S3,20368998665.23
2023-06-01,S4,1219168649.32
2023-06-01,S5,731631137.22
2023-07-01,S1,964329977153.66
2023-07-01,S2,5893562406.91
2023-07-01,S3,20706618945.54
2023-07-01,S4,1220724358.8
2023-07-01,S5,732358940.78
2023-08-01,S1,973158615766.52
2023-08-01,S2,5954037449.58
2023-08-01,S3,21101627817.23
2023-08-01,S4,1233140644.5
2023-08-01,S5,737340497.09
2023-09-01,S1,983401587802.01
2023-09-01,S2,6047019199.39
2023-09-01,S3,21482731371.35
2023-09-01,S4,1251389908.65
2023-09-01,S5,732358759.4300001
2023-10-01,S1,992430889662.28
2023-10-01,S2,6085388388.84
2023-10-01,S3,21833281035.06
2023-10-01,S4,1265066161.1299999
2023-10-01,S5,726354120.76
2023-11-01,S1,1001155709118.21
2023-11-01,S2,6151656590.97
2023-11-01,S3,22160921467.28
2023-11-01,S4,1282135253.45
2023-11-01,S5,722885252.23
2023-12-01,S1,1010007023098.68
2023-12-01,S2,6212373119.27
2023-12-01,S3,22518058096.19
2023-12-01,S4,1294859709.1100001
2023-12-01,S5,724313308.65
