data_base,regiao,carteira_ativa,carteira_inadimplida_arrastada,numero_de_operacoes,ticket_medio
2016-05-01,sul,96737961268.39,1285763487.45,1111004,87072.55893623245
2016-06-01,centro-oeste,56317277295.2,1138344075.41,605292,93041.50277089405
2016-06-01,nordeste,75750421957.27,1633046459.51,972393,77901.03585409398
2016-06-01,norte,16236118571.37,422642691.08,178990,90709.64060210068
2016-06-01,sudeste,259133715309.96,3233079264.12,2449314,105798.48696817149
2016-06-01,sul,97636245850.03,965278008.27,1129908,86410.79260438019
2016-07-01,centro-oeste,56831175285.58,1219674064.29,609120,93300.45850666535
2016-07-01,nordeste,76456117235.55,1749530653.21,978374,78146.10490012
2016-07-01,norte,16360140015.960001,454870438.21,179494,91145.88797374844
2016-07-01,sudeste,261117475046.35,3429047725.34,2462182,106051.2484643093
2016-07-01,sul,98480265711.63,1059551812.63,1135671,86715.48865087688
2016-08-01,centro-oeste,57392507445.3,1244233395.83,612891,93642.2748013921
2016-08-01,nordeste,77422810617.41,1790219484.83,987677,78388.79574740528
2016-08-01,norte,16533320519.64,488516351.76,180249,91724.8945605246
2016-08-01,sudeste,263127733069.31,3371141191.22,2475256,106303.24017770687
2016-08-01,sul,99407232283.65,1087819533.13,1141634,87074.51975295934
2016-09-01,centro-oeste,57814116135.81,1374518716.68,617761,93586.5425881692
2016-09-01,nordeste,77974636727.02,2033812087.84,991820,78617.72975642758
2016-09-01,norte,16622513093.85,527030364.73,180773,91952.41044763323
2016-09-01,sudeste,264979357261.06,3498457368.34,2489499,106438.82855990704
2016-09-01,sul,100127425485.77,1140037138.29,1147759,87237.32550628661
2016-10-01,centro-oeste,57298100578.47,1426401658.64,614033,93314.36678235534
2016-10-01,nordeste,77428997368.36,2079605247.09,987035,78446.05041195094
2016-10-01,norte,16448391576.82,543494920.62,179390,91690.6827405095
2016-10-01,sudeste,263508886553.0,3691258384.46,2476901,106386.52354413843
2016-10-01,sul,99479747309.44,1183542179.11,1142152,87098.51868178666
2016-11-01,centro-oeste,57793736783.31,1375149171.29,618361,93462.77786488798
2016-11-01,nordeste,78196942491.98,1968193937.51,998243,78334.57634261397
2016-11-01,norte,16566415542.06,509340996.04,180134,91967.17744601241
2016-11-01,sudeste,265417540154.25,3680323888.6,2492425,106489.67979146815
2016-11-01,sul,100367902628.81,1146724359.82,1149432,87319.5653408031
2016-12-01,centro-oeste,58465769066.73,1142192688.9,623733,93735.2506067981
