data_base,ocupacao,carteira_ativa,carteira_inadimplida_arrastada,numero_de_operacoes,ticket_medio
2022-05-01,PF - MEI,15272666563.21,300157209.15999997,148587,102786.02140974648
2022-05-01,PF - Outros,163483288603.47,4852056138.62,1860701,87861.1279316075
2022-05-01,PF - Servidor ou empregado público,142765275267.48,1196136474.26,1154217,123690.15121721479
2022-06-01,PF - Aposentado/pensionista,22739448339.9,246590801.28,256050,88808.62464323375
2022-06-01,PF - Autônomo,52512824019.51,970699363.5,398379,131816.2453831904
2022-06-01,PF - Empregado de empresa privada,317982415078.57,3639891936.5,2843366,111833.09326993782
2022-06-01,PF - Empregado de entidades sem fins lucrativos,914506769.59,8848023.01,7839,116661.15188034189
2022-06-01,PF - Empresário,142342268536.17,1602089033.83,710107,200451.85941860877
2022-06-01,PF - MEI,15613899003.69,267491901.34,150469,103768.21141690316
2022-06-01,PF - Outros,165766088242.25,4313385892.57,1873978,88456.79524639563
2022-06-01,PF - Servidor ou empregado público,143969600221.73,1076792978.99,1157700,124358.29681414012
2022-07-01,PF - Aposentado/pensionista,22743998811.51,249863876.55,254912,89222.94286463564
2022-07-01,PF - Autônomo,53235237251.26,1019220731.13,401051,132739.32056336975
2022-07-01,PF - Empregado de empresa privada,321854971003.42,3833036759.48,2859186,112568.74194383295
2022-07-01,PF - Empregado de entidades sem fins lucrativos,932497618.85,10467407.27,7934,117531.84003655156
2022-07-01,PF - Empresário,144974249883.76,1725054313.01,714052,203030.38137805092
2022-07-01,PF - MEI,15929894212.16,282593360.1,152169,104685.54181311568
2022-07-01,PF - Outros,168126074793.54,4455604384.77,1888279,89036.67031913187
2022-07-01,PF - Servidor ou empregado público,145300587063.45,1116310142.14,1161285,125120.52344036994
2022-08-01,PF - Aposentado/pensionista,23106005513.75,254559838.09,257592,89700.01208791422
2022-08-01,PF - Autônomo,53920346845.33,1022381565.31,403155,133745.9459645298
2022-08-01,PF - Empregado de empresa privada,327674190656.14,3846174811.18,2899073,113027.22996493707
2022-08-01,PF - Empregado de entidades sem fins lucrativos,943865534.1,9871254.16,7986,118190.02430503382
2022-08-01,PF - Empresário,147273830167.95,1692773390.72,716412,205571.41724028913
2022-08-01,PF - MEI,16332411668.95,283174290.27,154847,105474.51141417012
2022-08-01,PF - Outros,167920432976.45,4353258409.65,1869428,89824.49871107633
2022-08-01,PF - Servidor ou empregado público,147045009448.92,1082935292.47,1167731,125923.70113401118
2022-09-01,PF - Aposentado/pensionista,23071655220.06,244236798.53,256206,90051.19013629657
2022-09-01,PF - Autônomo,54630055375.7,1020902039.43,405006,134887.02729268206
2022-09-01,PF - Empregado de empresa privada,331472602879.24,3732322795.65,2914421,113735.31925526202
2022-09-01,PF - Empregado de entidades sem fins lucrativos,962764562.38,9105259.82,8082,119124.54372432566
2022-09-01,PF - Empresário,149704710575.44,1672354548.96,719721,208003.8106091666
2022-09-01,PF - MEI,16573513115.86,275498455.86,155948,106275.89398940673
2022-09-01,PF - Outros,170390882313.67,4189096063.23,1884942,90395.82242513033
2022-09-01,PF - Servidor ou empregado público,148302278314.55,1063702720.21,1171243,126619.56427022401
2022-10-01,PF - Aposentado/pensionista,23055019194.5,251594995.19,255026,90402.62245614173
2022-10-01,PF - Autônomo,55165525264.4,1087558762.11,406607,135672.83707461998
2022-10-01,PF - Empregado de empresa privada,335002968237.37,3980123513.68,2927978,114414.44171963382
2022-10-01,PF - Empregado de entidades sem fins lucrativos,972318398.67,10618894.24,8138,119478.79069427378
2022-10-01,PF - Empresário,151732314706.9,1835851531.6299999,722525,210002.8576269333
2022-10-01,PF - MEI,16819830492.03,307630109.73,157040,107105.39029565715
2022-10-01,PF - Outros,172620677783.1,4404382735.22,1898892,90906.0008589746
2022-10-01,PF - Servidor ou empregado público,149407832461.35,1125969044.61,1174308,127230.53275746228
2022-11-01,PF - Aposentado/pensionista,23024794405.25,262832854.32,253711,90752.05412950167
2022-11-01,PF - Autônomo,55801625257.48,1124131027.3,407947,136786.4581856957
2022-11-01,PF - Empregado de empresa privada,338400952028.76,4087272142.16,2939936,115104.87031988452
2022-11-01,PF - Empregado de entidades sem fins lucrativos,988728239.3199999,10867394.77,8200,120576.6145512195
2022-11-01,PF - Empresário,153990681751.66,1930464821.53,725481,212260.11673863273
2022-11-01,PF - MEI,17048231570.56,322454932.68,157936,107943.92393475838
2022-11-01,PF - Outros,174957909357.34,4511738653.72,1913822,91418.06780219894
