data_base,renda,carteira_ativa,carteira_inadimplida_arrastada,numero_de_operacoes,ticket_medio
2016-06-01,Sem Renda,1908877970.3999999,34116202.28,9949,191866.3152477636
2016-06-01,alta,158963653507.17,2192961546.06,717802,221458.91695365854
2016-06-01,baixa,173815921861.09,2843600352.06,2999253,57953.07093502615
2016-06-01,media,170385325645.17,2321712397.99,1608893,105902.21080281287
2016-07-01,Sem Renda,3831741956.96,49555067.62,18897,202769.85537175214
2016-07-01,alta,158602650364.51,2263222803.84,717930,220916.59404748376
2016-07-01,baixa,174678566452.2,3059667592.27,3004948,58130.31255522559
2016-07-01,media,172132214521.4,2540229229.95,1623066,106053.73689141414
2016-08-01,Sem Renda,208512343.34,9798668.34,1956,106601.40252556237
2016-08-01,alta,161812916080.89,2368668929.3,729043,221952.49948341868
2016-08-01,baixa,178315985209.61002,3057806413.51,3036160,58730.76030565254
2016-08-01,media,173546190301.47,2545655945.62,1630548,106434.27258901302
2016-09-01,Sem Renda,528701979.34,13150017.96,6441,82083.83470579103
2016-09-01,alta,162293443674.47,2420387250.11,730944,222032.66416369792
2016-09-01,baixa,180961209069.83,3429691450.2,3059732,59142.829852362884
2016-09-01,media,173734693979.87,2710626957.61,1630495,106553.34360416315
2016-10-01,Sem Renda,214626711.72,12651863.86,1952,109952.20887295083
2016-10-01,alta,159922455064.12,2519372526.12,718481,222584.11156887934
2016-10-01,baixa,183145370407.33,3581586218.83,3073486,59588.809061544445
2016-10-01,media,170881671202.92,2810691781.11,1605592,106429.07488510158
2016-11-01,Sem Renda,245959753.5,12911670.479999999,6587,37340.17815393958
2016-11-01,alta,160108119132.86,2465740481.7,719027,222673.3059159948
2016-11-01,baixa,187113553170.0,3472273792.17,3109692,60171.08870267538
2016-11-01,media,170874905544.05,2728806408.91,1603289,106577.73211445347
2016-12-01,Sem Renda,15252732187.97,20956434.82,187977,81141.48107465275
2016-12-01,alta,159674610585.26,2156526743.11,717653,222495.5662210846
2016-12-01,baixa,178127958151.97,2870944400.23,2984741,59679.53606425817
2016-12-01,media,170842177603.66,2279851473.94,1600876,106717.93293400614
2017-01-01,Sem Renda,331203500.26,12174842.54,14944,22162.97512446467
2017-01-01,alta,155913856863.44,2263116448.54,696793,223759.2181084483
2017-01-01,baixa,197303696017.42,3204237438.2,3197968,61696.58233522662
2017-01-01,media,172166340055.37,2448696168.9,1602160,107458.89302901707
2017-02-01,Sem Renda,312725896.39,11183571.700000001,14126,22138.31915545802
2017-02-01,alta,150256688480.1,2381835864.27,660186,227597.50809635466
2017-02-01,baixa,208134669605.84,3795863483.22,3326008,62577.922123410404
2017-02-01,media,170452522876.26,2734682783.15,1539571,110714.29825338357
2017-03-01,Sem Renda,365858320.69,17860754.05,12153,30104.362765572285
2017-03-01,alta,157744527715.78,2193655185.19,714232,220858.94739493608
2017-03-01,baixa,186859754457.01,3889725696.92,3100390,60269.757823051295
2017-03-01,media,186961176085.88998,2882933532.72,1721943,108575.70551748227
2017-04-01,Sem Renda,388326099.32,21322893.45,11223,34600.91769758532
2017-04-01,alta,158028804806.51,2264694322.96,715584,220838.9298901457
2017-04-01,baixa,189119224081.78,4328995195.37,3122498,60566.6437838487
2017-04-01,media,187554825731.9,3132723166.41,1726249,108648.76720096578
