data_base,regime,carteira_ativa,carteira_inadimplida_arrastada,numero_de_operacoes,ticket_medio
2014-03-01,Empresa_Privada,74990433164.05,893872635.09,798592,93903.31128292045
2014-03-01,Empresario,45404969490.7,799202340.72,341079,133121.56271919407
2014-03-01,Setor_Publico,53012215174.84,416386800.83,527865,100427.60019103368
2014-03-01,outro,167145056156.49,3126593506.86,2277256,73397.5697754183
2014-04-01,Aposentado,4348452039.5,59483979.13,64225,67706.53233943168
2014-04-01,Empresa_Privada,76066302650.32,1004116897.21,803059,94720.69007422868
2014-04-01,Empresario,46153912808.76,856530668.15,344386,134017.97055850123
2014-04-01,Setor_Publico,53744382332.72,461791555.14,531142,101186.4667691879
2014-04-01,outro,171258558130.47,3626890747.09,2311886,74077.42342419566
2014-05-01,Aposentado,4395764585.77,58123534.11,64136,68538.1780243545
2014-05-01,Empresa_Privada,77426043418.7,948979347.28,808122,95809.84482380135
2014-05-01,Empresario,47055678821.38,861096561.78,347735,135320.5136709851
2014-05-01,Setor_Publico,54678519116.71,444518966.28,534746,102251.38498784469
2014-05-01,outro,176457099560.87,3623099574.71,2353385,74980.12418744489
2014-06-01,Aposentado,4445432447.89,54169792.19,64268,69170.23165323334
2014-06-01,Empresa_Privada,78637084466.75,862727316.7,814478,96549.05898839502
2014-06-01,Empresario,47903204734.04,814800540.88,351889,136131.57766807146
2014-06-01,Setor_Publico,55492293748.06,403505550.88,538760,103000.02551796718
2014-06-01,outro,181383365082.37,3254611094.11,2397225,75663.88848871924
2014-07-01,Aposentado,4471235877.29,53395493.51,64085,69770.39677444019
2014-07-01,Empresa_Privada,79921422230.1,921562803.5699999,819328,97545.08845065713
2014-07-01,Empresario,48791722817.36,840749474.5,355410,137282.9206194536
2014-07-01,Setor_Publico,56268964396.270004,420100322.9,541417,103929.06834523114
2014-07-01,outro,186650710778.55,3449025346.13,2437449,76576.25278664292
2014-08-01,Aposentado,4526177697.15,51575050.55,64101,70610.09496185706
2014-08-01,Empresa_Privada,81567857350.49,958291681.3100001,824651,98911.97288366836
2014-08-01,Empresario,50409625817.04,862442595.5,359776,140113.92037556702
2014-08-01,Setor_Publico,57670556537.81,430907872.48,546681,105492.15454316136
2014-08-01,outro,192464585977.7,3560525462.78,2479379,77626.12572652266
2014-09-01,Aposentado,4513848220.05,43714926.18,63428,71164.91486488617
